section,unit,exercise,unit_exercise,level
praepositionen,praepositionen_nomen,11,praepositionen_nomen 11,B2
praepositionen,praepositionen_nomen,12,praepositionen_nomen 12,B2
praepositionen,praepositionen_nomen,13,praepositionen_nomen 13,C1
praepositionen,praepositionen_nomen,14,praepositionen_nomen 14,C1
praepositionen,praepositionen_nomen,15,praepositionen_nomen 15,C1
praepositionen,praepositionen_nomen,16,praepositionen_nomen 16,C1
praepositionen,praepositionen_nomen,17,praepositionen_nomen 17,C1
praepositionen,praepositionen_nomen,18,praepositionen_nomen 18,C1
praepositionen,praepositionen_nomen,19,praepositionen_nomen 19,C1
praepositionen,praepositionen_nomen,20,praepositionen_nomen 20,C1
praepositionen,praepositionen_nomen,21,praepositionen_nomen 21,C1
praepositionen,praepositionen_nomen,22,praepositionen_nomen 22,C1
praepositionen,praepositionen_nomen,23,praepositionen_nomen 23,C1
praepositionen,praepositionen_nomen,24,praepositionen_nomen 24,C1
praepositionen,praepositionen_nomen,25,praepositionen_nomen 25,C1
praepositionen,praepositionen_nomen,26,praepositionen_nomen 26,C1
praepositionen,praepositionen_nomen,27,praepositionen_nomen 27,C1
praepositionen,praepositionen_nomen,28,praepositionen_nomen 28,C1
praepositionen,praepositionen_nomen,29,praepositionen_nomen 29,C2
praepositionen,praepositionen_nomen,30,praepositionen_nomen 30,C2
praepositionen,pronominaladverbien,1,pronominaladverbien 1,B1
praepositionen,pronominaladverbien,2,pronominaladverbien 2,B2
praepositionen,pronominaladverbien,3,pronominaladverbien 3,B2
praepositionen,pronominaladverbien,4,pronominaladverbien 4,B2
praepositionen,pronominaladverbien,5,pronominaladverbien 5,C1
artikel_pronomen_kasus,artikel,1,artikel 1,A1
artikel_pronomen_kasus,artikel,2,artikel 2,A1
artikel_pronomen_kasus,artikel,3,artikel 3,A1
artikel_pronomen_kasus,artikel,4,artikel 4,A1
artikel_pronomen_kasus,artikel,5,artikel 5,A1
artikel_pronomen_kasus,artikel,6,artikel 6,A1
artikel_pronomen_kasus,artikel,7,artikel 7,A1
artikel_pronomen_kasus,artikel,8,artikel 8,A1
artikel_pronomen_kasus,artikel,9,artikel 9,A1
artikel_pronomen_kasus,artikel,10,artikel 10,A1
artikel_pronomen_kasus,artikel,11,artikel 11,A1
artikel_pronomen_kasus,artikel,12,artikel 12,A1
artikel_pronomen_kasus,artikel,13,artikel 13,A1
artikel_pronomen_kasus,artikel,14,artikel 14,A1
artikel_pronomen_kasus,artikel,15,artikel 15,A1
artikel_pronomen_kasus,artikel,16,artikel 16,A1
artikel_pronomen_kasus,artikel,17,artikel 17,A1
artikel_pronomen_kasus,artikel,18,artikel 18,A1
artikel_pronomen_kasus,artikel,19,artikel 19,A1
artikel_pronomen_kasus,artikel,20,artikel 20,A1
artikel_pronomen_kasus,artikel,21,artikel 21,A1
artikel_pronomen_kasus,artikel,22,artikel 22,A1
artikel_pronomen_kasus,artikel,23,artikel 23,A1
artikel_pronomen_kasus,artikel,24,artikel 24,A1
artikel_pronomen_kasus,artikel,25,artikel 25,A1
artikel_pronomen_kasus,artikel,26,artikel 26,A2
artikel_pronomen_kasus,artikel,27,artikel 27,A2
artikel_pronomen_kasus,artikel,28,artikel 28,A2
artikel_pronomen_kasus,artikel,29,artikel 29,A2
artikel_pronomen_kasus,artikel,30,artikel 30,A2
artikel_pronomen_kasus,artikel,31,artikel 31,A2
artikel_pronomen_kasus,artikel,32,artikel 32,A2
artikel_pronomen_kasus,artikel,33,artikel 33,A2
artikel_pronomen_kasus,artikel,34,artikel 34,B1
artikel_pronomen_kasus,artikel,35,artikel 35,B1
artikel_pronomen_kasus,artikel,36,artikel 36,B1
artikel_pronomen_kasus,artikel,37,artikel 37,B1
artikel_pronomen_kasus,artikel,38,artikel 38,B1
artikel_pronomen_kasus,artikel,39,artikel 39,B1
artikel_pronomen_kasus,artikel,40,artikel 40,B2
artikel_pronomen_kasus,artikel,41,artikel 41,B2
artikel_pronomen_kasus,artikel,42,artikel 42,C1
artikel_pronomen_kasus,artikel,43,artikel 43,C1
artikel_pronomen_kasus,artikel,44,artikel 44,C1
artikel_pronomen_kasus,artikel,45,artikel 45,C1
artikel_pronomen_kasus,pronomen,1,pronomen 1,A1
artikel_pronomen_kasus,pronomen,2,pronomen 2,A1
artikel_pronomen_kasus,pronomen,3,pronomen 3,A1
artikel_pronomen_kasus,pronomen,4,pronomen 4,A1
artikel_pronomen_kasus,pronomen,5,pronomen 5,A1
artikel_pronomen_kasus,pronomen,6,pronomen 6,A1
artikel_pronomen_kasus,pronomen,7,pronomen 7,A1
artikel_pronomen_kasus,pronomen,8,pronomen 8,A1
artikel_pronomen_kasus,pronomen,9,pronomen 9,A1
artikel_pronomen_kasus,pronomen,10,pronomen 10,A1
artikel_pronomen_kasus,pronomen,11,pronomen 11,A2
artikel_pronomen_kasus,pronomen,12,pronomen 12,A2
artikel_pronomen_kasus,pronomen,13,pronomen 13,A2
artikel_pronomen_kasus,pronomen,14,pronomen 14,A2
artikel_pronomen_kasus,pronomen,15,pronomen 15,B1
artikel_pronomen_kasus,pronomen,16,pronomen 16,B1
artikel_pronomen_kasus,pronomen,17,pronomen 17,B1
artikel_pronomen_kasus,pronomen,18,pronomen 18,B1
artikel_pronomen_kasus,pronomen,19,pronomen 19,B1
artikel_pronomen_kasus,pronomen,20,pronomen 20,B1
artikel_pronomen_kasus,pronomen,21,pronomen 21,B1
